1.3 0.769231 47.7105 nan  -2228.82 nan  -7.12142e+007 nan  -4.9657e+015 nan 0.993047 nan
1.2 0.833333 5.02727 nan  -20.254 nan  -7.47868e+006 nan  -4.48227e+013 nan 0.933797 nan
1.1 0.909091 6.00945 nan  -30.1041 nan  -8.92576e+006 nan  -6.64119e+013 nan 0.944532 nan
1 1 5.99625 nan  -29.9666 nan  -8.91774e+006 nan  -6.62808e+013 nan 0.94448 nan
0.9 1.11111 9.93328 nan  -88.738 nan  -1.47572e+007 nan  -1.95853e+014 nan 0.969516 nan
0.8 1.25 6.053 nan  -30.5859 nan  -8.9917e+006 nan  -6.74936e+013 nan 0.944931 nan
0.7 1.42857 5.01201 nan  -20.1082 nan  -7.4453e+006 nan  -4.43726e+013 nan 0.933493 nan
0.6 1.66667 5.01063 nan  -20.0958 nan  -7.44325e+006 nan  -4.43451e+013 nan 0.933475 nan
0.5 2 13.9155 nan  -179.726 nan  -2.21568e+007 nan  -4.58011e+014 nan 0.977652 nan
0.4 2.5 2.0437 nan  -2.13301 nan  -3.0359e+006 nan  -4.70688e+012 nan 0.836897 nan
0.3 3.33333 2.00932 nan  -2.02805 nan  -2.98483e+006 nan  -4.47527e+012 nan 0.834106 nan
0.2 5 0.00400009 18943.5  0.00398409 18943.5  -5942.11 2.81404e+010  8.79165e+009 4.40459e+008 -82.3314 7.89275e+008
1st for took::457.757000 sec.
2nd for took::322.972000 sec.
3th for took::308.035000 sec.
Avarage do_step function took::64.142328 sec.
Calculation took::1088.776000 sec.
